0 {'s3': 100.0, 's2': 0.0, 's1': 50.0, 's4': 10.0}
58 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
59 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
60 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
61 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
62 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
63 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
64 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
65 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
66 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
67 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
68 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
69 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
70 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
71 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
72 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
73 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
74 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
75 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
76 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
77 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
78 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
79 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
80 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
81 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
82 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
83 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
84 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
85 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
86 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
87 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
88 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
